"district","age","life_exp","gender","municipality_id"
"Centro","Menos de 1 año",79.9,"Hombre","28079"
"Arganzuela","Menos de 1 año",81.38,"Hombre","28079"
"Retiro","Menos de 1 año",82.62,"Hombre","28079"
"Salamanca","Menos de 1 año",82.36,"Hombre","28079"
"Chamartín","Menos de 1 año",81.76,"Hombre","28079"
"Tetuán","Menos de 1 año",80.46,"Hombre","28079"
"Chamberí","Menos de 1 año",81.1,"Hombre","28079"
"Fuencarral-El Pardo","Menos de 1 año",82.65,"Hombre","28079"
"Moncloa-Aravaca","Menos de 1 año",82.83,"Hombre","28079"
"Latina","Menos de 1 año",81.51,"Hombre","28079"
"Carabanchel","Menos de 1 año",80.33,"Hombre","28079"
"Usera","Menos de 1 año",80.17,"Hombre","28079"
"Puente de Vallecas","Menos de 1 año",78.96,"Hombre","28079"
"Moratalaz","Menos de 1 año",81.32,"Hombre","28079"
"Ciudad Lineal","Menos de 1 año",81.52,"Hombre","28079"
"Hortaleza","Menos de 1 año",80.53,"Hombre","28079"
"Villaverde","Menos de 1 año",79.94,"Hombre","28079"
"Villa de Vallecas","Menos de 1 año",80.79,"Hombre","28079"
"Vicálvaro","Menos de 1 año",82.83,"Hombre","28079"
"San Blas-Canillejas ","Menos de 1 año",80.26,"Hombre","28079"
"Barajas","Menos de 1 año",81.13,"Hombre","28079"
"Centro","1 a 4 años",78.9,"Hombre","28079"
"Arganzuela","1 a 4 años",80.59,"Hombre","28079"
"Retiro","1 a 4 años",81.79,"Hombre","28079"
"Salamanca","1 a 4 años",81.36,"Hombre","28079"
"Chamartín","1 a 4 años",81.11,"Hombre","28079"
"Tetuán","1 a 4 años",79.69,"Hombre","28079"
"Chamberí","1 a 4 años",80.39,"Hombre","28079"
"Fuencarral-El Pardo","1 a 4 años",81.77,"Hombre","28079"
"Moncloa-Aravaca","1 a 4 años",81.99,"Hombre","28079"
"Latina","1 a 4 años",80.77,"Hombre","28079"
"Carabanchel","1 a 4 años",79.4,"Hombre","28079"
"Usera","1 a 4 años",79.54,"Hombre","28079"
"Puente de Vallecas","1 a 4 años",78.19,"Hombre","28079"
"Moratalaz","1 a 4 años",80.32,"Hombre","28079"
