"municipality_id","value_per_inhabitant","name","dataset"
"8019",123.29,"Deuda pública","Gasto por habitante"
"8019",123.29,"Deuda Pública","Gasto por habitante"
"8019",123.29,"Deuda Pública","Gasto por habitante"
"8019",651.35,"Servicios públicos básicos","Gasto por habitante"
"8019",176.6,"Seguridad y movilidad ciudadana","Gasto por habitante"
"8019",4.75,"Administración General de la Seguridad y Protección Civil","Gasto por habitante"
"8019",104.25,"Seguridad y Orden Público","Gasto por habitante"
"8019",32.31,"Ordenación del tráfico y del estacionamiento","Gasto por habitante"
"8019",9.87,"Movilidad urbana","Gasto por habitante"
"8019",1.05,"Protección civil","Gasto por habitante"
"8019",24.36,"Servicio de prevención y extinción de incendios","Gasto por habitante"
"8019",187.6,"Vivienda y urbanismo","Gasto por habitante"
"8019",12.14,"Administración General de Vivienda y urbanismo","Gasto por habitante"
"8019",113.24,"Urbanismo:planeamiento,gestión,ejecución y disciplina urbanística","Gasto por habitante"
"8019",16.86,"Vivienda","Gasto por habitante"
"8019",7.95,"Promoción y gestión de vivienda de protección pública","Gasto por habitante"
"8019",8.91,"Conservación y rehabilitación de la edificación","Gasto por habitante"
"8019",45.36,"Vías públicas","Gasto por habitante"
"8019",45.36,"Pavimentación de vías públicas","Gasto por habitante"
"8019",249.85,"Bienestar comunitario","Gasto por habitante"
"8019",12.92,"Alcantarillado","Gasto por habitante"
"8019",1.4,"Abastecimiento domiciliario de agua potable","Gasto por habitante"
"8019",99.69,"Recogida, gestión y tratamiento de residuos","Gasto por habitante"
"8019",61.14,"Recogida de residuos","Gasto por habitante"
"8019",2.79,"Gestión de residuos sólidos urbanos","Gasto por habitante"
"8019",35.76,"Tratamiento de residuos","Gasto por habitante"
"8019",105.29,"Limpieza viaria","Gasto por habitante"
"8019",7.5,"Cementerios y servicios funerarios","Gasto por habitante"
"8019",23.05,"Alumbrado público","Gasto por habitante"
"8019",37.3,"Medio ambiente","Gasto por habitante"
"8019",33.84,"Parques y jardines","Gasto por habitante"
"8019",3.46,"Protección y mejora del medio ambiente","Gasto por habitante"
"8019",3.46,"Protección contra la contaminación acústica, lumínica y atmosférica en las zonas urbanas","Gasto por habitante"
"8019",150.39,"Actuaciones de protección y promoción social","Gasto por habitante"
"8019",0.44,"Pensiones","Gasto por habitante"
"8019",0.44,"Pensiones","Gasto por habitante"
"8019",149.95,"Servicios Sociales y promoción social","Gasto por habitante"
"8019",149.95,"Asistencia social primaria","Gasto por habitante"
"8019",181.44,"Producción de bienes públicos de carácter preferente","Gasto por habitante"
"8019",11.86,"Sanidad","Gasto por habitante"
"8019",10.45,"Protección de la salubridad pública","Gasto por habitante"
"8019",1.4,"Hospitales, servicios asistenciales y centros de salud","Gasto por habitante"
"8019",70.66,"Educación","Gasto por habitante"
"8019",9,"Administración general de educación","Gasto por habitante"
"8019",42.52,"Funcionamiento de Centros docentes de enseñanza preescolar y primaria y educación especial","Gasto por habitante"
"8019",4.65,"Funcionamiento de Centros docentes de enseñanza secundaria","Gasto por habitante"
"8019",14.49,"Servicios complementarios de educación","Gasto por habitante"
"8019",83.58,"Cultura","Gasto por habitante"
"8019",12.83,"Administración General de Cultura","Gasto por habitante"
"8019",7.79,"Bibliotecas y Archivos","Gasto por habitante"
"8019",7.79,"Bibliotecas Públicas","Gasto por habitante"
"8019",40.2,"Equipamientos culturales y museos","Gasto por habitante"
"8019",10.34,"Promoción cultural","Gasto por habitante"
"8019",0.13,"Protección y gestión del Patrimonio Histórico-Artístico","Gasto por habitante"
"8019",8.24,"Instalaciones de ocupación del tiempo libre","Gasto por habitante"
"8019",4.06,"Fiestas populares y festejos","Gasto por habitante"
"8019",15.35,"Deporte","Gasto por habitante"
"8019",12.21,"Promoción y fomento del deporte","Gasto por habitante"
"8019",3.13,"Instalaciones deportivas","Gasto por habitante"
"8019",154.75,"Actuaciones de carácter económico","Gasto por habitante"
"8019",60.02,"Comercio, turismo y pequeñas y medianas empresas","Gasto por habitante"
"8019",1.97,"Administración General de Comercio, turismo y pequeñas y medianas empresas","Gasto por habitante"
"8019",14.23,"Comercio","Gasto por habitante"
"8019",4.17,"Ferias","Gasto por habitante"
"8019",10.06,"Mercados, Abastos y Lonjas","Gasto por habitante"
"8019",2.64,"Información y promoción turística","Gasto por habitante"
"8019",41.17,"Desarrollo empresarial","Gasto por habitante"
"8019",83.14,"Transporte público","Gasto por habitante"
"8019",83.14,"Transporte de viajeros","Gasto por habitante"
"8019",72.66,"Transporte colectivo urbano de viajeros","Gasto por habitante"
"8019",10.48,"Otro transporte de viajeros","Gasto por habitante"
"8019",11.59,"Otras actuaciones de carácter económico","Gasto por habitante"
"8019",10.88,"Sociedad de la información","Gasto por habitante"
"8019",0.71,"Protección de consumidores y usuarios","Gasto por habitante"
"8019",269.38,"Actuaciones de carácter general","Gasto por habitante"
"8019",17.12,"Órganos de gobierno","Gasto por habitante"
"8019",17.12,"Órganos de gobierno","Gasto por habitante"
"8019",123.04,"Servicios de carácter general","Gasto por habitante"
"8019",34.23,"Administración General","Gasto por habitante"
"8019",3.95,"Coordinación y organización institucional de las entidades locales","Gasto por habitante"
"8019",1.68,"Información básica y estadística","Gasto por habitante"
"8019",1.68,"Gestión del Padrón Municipal de Habitantes","Gasto por habitante"
"8019",5.69,"Participación ciudadana","Gasto por habitante"
"8019",22.5,"Atención a los ciudadanos","Gasto por habitante"
"8019",36.48,"Comunicaciones internas","Gasto por habitante"
"8019",18.5,"Imprevistos, situaciones transitorias y contingencias de ejecución","Gasto por habitante"
"8019",73.7,"Administración financiera y tributaria","Gasto por habitante"
"8019",3.39,"Política económica y fiscal","Gasto por habitante"
"8019",16.61,"Gestión del sistema tributario","Gasto por habitante"
"8019",53.24,"Gestión del patrimonio","Gasto por habitante"
"8019",0.46,"Gestión de la deuda y de la tesorería","Gasto por habitante"
"8019",55.53,"Transferencias a otras Administraciones Públicas","Gasto por habitante"
"8019",55.53,"Transferencias a otras Entidades Locales","Gasto por habitante"
